No,Location Code,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
38,L2400140054,Bedok Mall - watsons,BEDOK MALL|311 NEW UPPER,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,467360,M200772571
32,L0600140646,Bugis Junction - watsons,BUGIS JUNCTION,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
20,L0300140206,Tampines Mall - watsons,TAMPINES MALL,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
168,L0900140056,JCube - watsons,JCUBE::JC,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
136,L2200140167,The Star Vista - watsons,STAR VISTA|1 VISTA EXCHANGE GREEN,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
111,L2500140301,Westgate - watsons,WESTGATE|3 GATEWAY DRIVE,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
,L0400140006,Plaza Singapura - watsons,PLAZA SINGAPURA|68 ORCHARD ROAD,WATSONS|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,m200772571
24,LSPC900014,SingPost Centre - Watsons,SINGPOST CENTER,watsons,,M2-0077257-1
569,L2123460349,Bugis+ - Bershka,BUGIS+::+|190 MACPHERSON ROAD,BERSHKA|MONTEZ,348548,M200781503
,L22065840482,The Star Vista - The Seafood Market Place by Song Fish,THE STAR VISTA|1 VISTA EXCHANGE GREEN,SONG FISH DEALER|THE SEEFOOD MARKET PLACE BY SONG FISH|CO.REG : 198703967R,138167,M200789806
,L2561240094,Westgate - Curry Times,3 GATEWAY DRIVE|WESTGATE,CURRY TIMES|WWW.CURRYTIMES.COM.SG,608532,m200792092
52,L0502631509,IMM Building - ichiban sushi,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST::2|IMM,ICHIBAN SUSHI|FAX: 68963078|CO. REG. NO.: 53273556X| 201610846R,609601,M200833031
49,L1602630211,Bukit Panjang Plaza - ichiban sushi,BUKIT PANJANG PLAZA|1 JELEBU ROAD,ICHIBAN SUSHI|TEL: 6760 8135|FAX: 6760 8182|CO. REG. NO.: 198801832Z|WWW.RES.COM.SG,677743,M200833031
125,L0402630254,Plaza Singapura - ichiban sushi,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,ICHIBAN SUSHI|TEL: 6837 0113|FAX: 6837 0414|CO. REG. NO.: 53273556X,238839,M200833031
409,L0403500337,Plaza Singapura - Hot Tomato Express,PLAZA SINGAPURA|68 ORCHARD ROAD,FIN JONE RESTAURANT & BAR|HOT TOMATO|TEL: 6341-9162|FAX: 6341-9163,238839,M200834470
321,L0314410563,Tampines Mall - SingtelShop,TAMPINES MALL|4 TAMPINES CENTRAL 5,SINGTEL SHOP|#02-13/14/15,529509,M20089417X
74,L0614410604,Bugis Junction - SingtelShop,Bugis Junction|200 Victoria Street,Singtel Self-Serve Kiosk|#01-50/50A|Singtel Group,648331,M2-0089417-X
244,L57RCSFM01,Raffles City Singapore - Prego,RAFFLES CITY|SINGAPORE 178882,PREGO|FAIRMONT|REG NO. 53087342X,178882,M200896360
422,L57054370147,Raffles City Singapore - Szechuan Kitchen,RAFFLES CITY|178882,FAIRMONT|FAIRMONT SINGAPORE SZECHUAN COURT|SZECHUAN KITCHEN|354851 QIU HUI,178882,M200896360
449,L57RCSFM05,Raffles City Singapore - Mikuni,RAFFLES CITY SINGAPORE|2 STAMFORD ROAD,FAIRMONT|MIKUNI|REG. NOS. 53087342K,178882,M200896360
501,L57RCSFM03,Raffles City Singapore - Asian Market Caf?,RAFFLES CITY SINGAPORE|2 STAMFORD ROAD,ASIAN MARKET|REG. NO. 53087342K,178882,M200896360
508,L57RCSSS03,Raffles City Singapore - Kopi Tiam,RAFFLES CITY SINGAPORE|2 STAMFORD ROAD,SWISSOTEL THE STAMFORD|KOPI TIAM,178882,M200896360
485,L0300540217,Tampines Mall - JEAN YIP HUB,TAMPINES MALL,JEAN YIP HUB|#03-13/14/K1|CO. REG. NO.: 199000011G,,M200906462
154,L1501550344,The Atrium@Orchard - La Senza,60A ORCHARD RD,La Senza|#03-50/51|Tel: 6884 7569,238890,M2-0090662
185,L0400490285,Plaza Singapura - Golden Village,PLAZA SINGAPURA|PLAZA,GOLDEN VILLAGE|GV PLAZA::GV,238839,M200915038
367,L0300490147,Tampines Mall - Golden Village,TAMPINES MALL|4 TAMPINES CENTRAL 5,GOLDEN VILLAGE|GV TAMP|WWW.GV.COM.SG,,M200915038
131,L0200490308,Junction 8 - Golden Village,9 Bishan Place|Junction 8::8,GOLDEN VILLAGE|Place #04-03|www.gv.com.sg,579837,M2-0091503-8
339,L0505290043,IMM Building - Fragrance,IMM BUILDING|2 JURONG EAST::2,FRAGRANCE FOODSTUFF|TEL:65657612,,M200925092
205,L04000720614,Plaza Singapura - CRYSTAL JADE KITCHEN,PLAZA SINGAPURA|68 ORCHARD ROAD,CRYSTAL JADE KITCHEN STEAMBOAT|TEL:63362833,238839,M200940342
314,L0202310144,Junction 8 - G2000,JUNCTION 8::8|9 BISHAN PLACE,G2000|PHONE NO.:63563601|G2000 APPAREL (S),579837,M200971221
590,L2402310099,Bedok Mall - G2000,BEDOK MALL|311 NEW CHANGI ROAD,G2000|PHONE NO.:6702 4072|G2000 APPAREL (S)|COMPANY REG NUMBER: 199006125R,467360,M200971221
68,L0402310468,Plaza Singapura - G2000,68 Orchard Road|Plaza Singapura,G2000|Phone No.:6884 9557|G2000 Apparel|199006125R,238839,M200971221
,L1600760153,Bukit Panjang Plaza - BENGAWAN SOLO,BUKIT PANJANG PLAZA|BUKIT|BT PANJANG,BENGAWAN|BENGAWAN SOLO|TEL: 6767 3011|CO. REG NO. 199102507H,,M201008174
290,L1800760016,Lot One - BENGAWAN SOLO,LOT 1|LOT ONE|CHOA CHU KANG,BENGAWAN SOLO|TEL:6767 1096|CO. REG NO. 199102507H,,M201008174
345,L0300760013,Tampines Mall - BENGAWAN SOLO,TAMPINES MALL,BENGAWAN SOLO|TEL:67882811,,M201008174
343,L0200760266,Junction 8 - BENGAWAN SOLO,Junction 8::8,BENGAWAN SOLO|8% #B1-K1|Tel: 6258 2066,,M201008174
331,L0314280131,Tampines Mall - TONKICHI,TAMPINES MALL|4 TAMPINES CENTRAL,TONKICHI|TEL:(65)67891726|FAX:(65)67893906,529510,M201011817
395,L0505561637,IMM Building - Long Beach IMM Seafood Restaurant,IMM BUILDING|JURONG EAST ST 21::2,LONG BEACH SEAFOOD|REG. NO. 199103880N|TEL: 65669933|FAX: 63386398,,M201012058
472,L2428110185,Bedok Mall - CHOC SPOT,BEDOK MALL|311 NEW UPPER CHANGI ROAD,CHOC SPOT|TEL: 6702 4094,467360,M201023254
99,L1800100314,Lot One - Pizza Hut,LOT 1|LOT ONE|21 CHOA CHU KANG,PIZZA HUT|TEL: 6465 5740,,M201141095
211,L2400100104,Bedok Mall - Pizza Hut,BEDOK MALL|311 NEW UPPER CHANGI ROAD,PIZZA HUT|#B2-05/34|TEL:68449852,467360,M201141095
149,L1600100155,Bukit Panjang Plaza - Pizza Hut,BUKIT PANJANG PLAZA|1 JELEBU ROAD,PIZZA HUT|TEL: 6892 1266|WWW.PIZZAHUTGUESTSURVEY.COM.SG,677743,M201141095
109,L0300100083,Tampines Mall - Pizza Hut,TAMPINES MALL,PIZZA HUT|TEL: 6781 3413|WWW.PIZZAHUTGUESTSURVEY.COM.SG,,M201141095
439,L0400100363,Plaza Singapura - Pizza Hut,PLAZA SINGAPURA|PLAZA SING,PIZZA HUT|TEL: 6334 3757|WWW.PIZZAHUTGUESTSURVEY.COM.SG,,M201141095
222,L2500100100,Westgate - Pizza Hut,WESTGATE|2 GATEWAY DRIVE,PIZZA HUT|WWW.PIZZAHUTGUESTSURVEY.COM.SG,608532,M201141095
91,L0208690104,Junction 8 - BHG,BISHAN,WWW.BHGSINGAPORE.COM.SG|AT BHG|65-67041368|BHGSING,,M201190924
15,L1808690119,Lot One - BHG,LOT 1|LOT ONE|21 CHOA CHU KANG,WWW.BHGSINGAPORE.COM.SG|AT BHG|TEL NO : 65-67660880,,M201190924
13,L0608690237,Bugis Junction - BHG,BUGIS JUNCTION,WWW.BHGSINGAPORE.COM.SG|AT BHG|AT WELCIA-BHG|65-62232222|BHGSING,,M201190924
132,L0300210436,Tampines Mall - THE BODY SHOP,TAMPINES MALL|TAMPINES CENTRAL,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP|TELEPHONE: 67810673|BIZ REG NO: 199307427H|THEBODYSHOP.COM/FEEDBACK,529510,M20119094X
,L0200210057,Junction 8 - THE BODY SHOP,JUNCTION 8::8|9 BISHAN PLACE,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,579837,M20119094X
,L0400210106,Plaza Singapura - THE BODY SHOP,PLAZA SINGAPURA|68 ORCHARD ROAD,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,238839,M20119094X
,L0600210554,Bugis Junction - THE BODY SHOP,BUGIS JUNCTION,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,188021,M20119094X
,L1600210159,Bukit Panjang Plaza - THE BODY SHOP,BUKIT PANJANG PLAZA|1 JELEBU ROAD,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,677743,M20119094X
,L1800210048,Lot One - THE BODY SHOP,LOT 1|LOT ONE|21 CHOA CHU KANG,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,689812,M20119094X
,L2400210115,Bedok Mall - THE BODY SHOP,BEDOK|BEDOK MALL|311 NEW UPPER,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP|TELEPHONE: 67810673|BIZ REG NO: 199307427H|THEBODYSHOP.COM/FEEDBACK,467360,M20119094X
,L57250843049,Raffles City Singapore - THE BODY SHOP,RAFFLES CITY,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,179103,M20119094X
792,L0527511980,IMM Building - adidas Outlet,IMM Building|IMM|Jurong East Street 21::2,adidas|#02-14/15/16 IMM |Tel No.:6569 5736,609601,M201192820
115,L2124870337,Bugis+ - adidas Originals,201 Victoria Street|Bugis +::+,adidas|#02/10-11|Tel No.: 62380198|199400638K|shop.adidas.com.sg/,188067,M20119282-0
370,L0505881539,IMM Building - Sim Siang Choon,IMM BUILDING|2 JURONG EAST::2,SIM SIANG CHOON HARDWARE (S)|TEL: 65836493|FAX: 85841541|CO.REG.NO.: 199402436M,609601,M201200962
56,LSPC900031,SingPost Centre - Hawkerman,10 Eunos Road 8|Singpost Centre,HAWKERMAN|B1-128/129,409600,M2-0120727-4
83,L5751610138,Raffles City Singapore - Sushi Tei,RAFFLES CITY|252 NORTH BRIDGE ROAD,SUSHI TEI|TEL: 63347887|FAX: 63347667,179103,M201263930
254,L15087410505,The Atrium@Orchard - Den Ajisen,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,AJISEN DEN|pura 04-64/66|#04-64 68|TEL:62662581,238839,M20370629T
76,L0301050210,Tampines Mall - TOYSRUS,TAMPINES CENTRAL|TAMPINES MALL,TOYSRUS|TOYS 'R' US|TOYRUS.COM|HOTLINE: 6733 0190|EMAIL: S9.STAR@TOYSRUS.COM,529510,M20640730
183,L0609960159,Bugis Junction - Ma Maison,BUGIS JUNCTION|200 VICTORIA ST,MA MAISON|TEL: 6338 4819|FAX: 6338 4319,188021,M289206051
67,L0402570474,Plaza Singapura - SPOTLIGHT,PLAZA SINGAPURA|238839,LEVEL 5::5|PH 65 6733 9808|FAX 65 6733 0576|WWW.SPOTLIGHT.COM.SG,238839,M289214186
71,L0300720009,Tampines Mall - CRYSTAL JADE KITCHEN,TAMPINES MALL|4 TAMPINES CENTRAL 5,CRYSTAL JADE|CRYSTAL JADE KITCHEN|TEL NO: 6788-0633|FAX: 6788-0622,529510,M289214305
,L03069960272,Tampines Mall - So PHO,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,SOPHO|SOPHO.COM|NO: M289220330|TEL: 6789 0653|FAX: 6789 2807|WWW.SOPHO.COM.SG,529510,m289220330
251,L0501120021,IMM Building - BALIthai,IMM BUILDING|2 JURONG EAST 21::2,BALI THAI @|TEL: +65 6560 5660|WWW.BALITHAI.COM.SG,609601,M289220330
180,L1616870087,Bukit Panjang Plaza - streats hong kong caf?,BUKIT PANJANG PLAZA|1 JELEBU ROAD|SINGAPORE 677743,Streats Cafe|#02-17 Bukit|WWW.STREATS.COM.SG::TREA|TEL: 6767 4745|FAX: 6767 4769,677743,M2892220330
794,L0516871284,IMM Building - streats hong kong caf?,IMM|Jurong East St 21::2,Streats Cafe| St 21% #02-17/17A|TEL: 65646471,609601,M2892220330
,L24087480424,Bedok Mall - Streats,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD|467360,STREATS CF|TEL: 6702 3603|WEBSITE: WWW.STREATSCAFE.COM.SG,467360,M2892220330
325,L0601110476,Bugis Junction - Honguo,BUGIS JUNCTION|200 VICTORIA STREET,HONGUO|TEL:68844717|WEBSITE:WWW.HONGUO.COM.SG/,188021,M2892220330
252,L06086060928,Bugis Junction - CRYSTAL JADE LA MIAN XIAO LONG BAO,BUGIS JUNCTION|230 VICTORIA ST,CRYSTAL JADE|CRYSTAL JADE LA MIAN XIAO LONG BAO|TEL:63396902|MIAN XLB,188024,M289234888
6,L2460440250,Bedok Mall - FairPrice finest,BEDOK MALL|311 NEW UPPER CHANGI ROAD|BEDOK,FINEST|FAIRPRICE FINEST|6844 9846|Road #B02-60|UEN NO: S83CS0191L,467360,M400045780
5,L0260440007,Junction 8 - FairPrice finest,JUNCTION 8::8|9 BISHAN PLACE,FINEST|FAIRPRICE FINEST|62590461|UEN NO: S83CS0191L,579837,M400045780
44,L18071350286,Lot One - unity,LOT1 SHOPPER::LOT|LOT ONE|21 CHOA CHU KANG AVE 4,UNITY|UNITY BY FAIRPRICE|TEL: 6763 7678|#B1-04/05 Lot1|UEN NO: S83CS0191L,689812,M400045780
4,L1860430425,Lot One - FairPrice,LOT 1|LOT 1 SHOPPERS::LOT|LOT ONE|21 CHOA CHU KANG AVE 4,NTUC|NTUC FAIRPRICE|67665009|#B1-03 Lot 1|UEN NO: S83CS0191L,689812,M400045780
3,L0360430010,Tampines Mall - FairPrice,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,NTUC|NTUC FAIRPRICE|67861953|UEN NO: S83CS0191L,529510,M400045780
18,L09060440379,JCube - FairPrice finest,JCUBE::JC|JCUBE MALL|JURONG EAST CENTRAL 1,FINEST|FAIRPRICE FINEST|TEL: 62624180 / 62624183|UEN NO: S83CS0191L,609731,M400045780
1,L16060443035,Bukit Panjang Plaza - FairPrice finest,BUKIT PANJANG PLAZA|1 JELEBU ROAD,FINEST|FAIRPRICE FINEST|#01-15 & 02-20|UEN NO: S83CS0191L,677743,M400045780
273,L02071350024,Junction 8 - unity,JUNCTION 8::8|9 BISHAN PLACE,UNITY|UNITY BY FAIRPRICE|6262 5302|UEN NO: S83CS0191L,579837,M400045780
406,L04071350460,Plaza Singapura - unity,PLAZA SINGAPURA|68 ORCHARD ROAD,UNITY|UNITY BY FAIRPRICE|TEL: 6238 0230|UEN NO: S83CS0191L,238839,M400045780
,L25071353222,Westgate - unity,WESTGATE|3 GATEWAY DRIVE,UNITY|UNITY BY FAIRPRICE|TEL: 6465 9161|UEN NO: S83CS0191L,668532,M400045780
104,L1611490005,Bukit Panjang Plaza - unity,BUKIT PANJANG PLAZA|1 JELEBU ROAD,UNITY|UNITY BY FAIRPRICE|TEL: 6760 2363|UEN NO: S83CS0191L,677743,M400045780
0,LSPC900082,SingPost Centre - NTUC FairPrice,10 Eunos Road 8|SingPost Centre,#B01-101 to 107|TEL: 67472896,408600,M400045780
436,L0924670275,JCube - The Rink,JCUBE::JC|JURONG EAST CENTRAL 1,THE RINK|SINGAPORE SPORTS COUNCIL|TEL NO : 66842374,609731,M88200067
177,L24030030491,Bedok Mall - SEOUL GARDEN HotPot,BEDOK MALL|311 NEW UPPER CHANGI ROAD,SEOUL GARDEN|TEL:65841339,467360,M90001079Y
223,L0530031296,IMM Building - SEOUL GARDEN HotPot,IMM BUILDING|2 JURONG EAST::2,SEOUL GARDEN HOTPOT|TEL:65668339,,M90001079Y
591,L0310230572,Tampines Mall - SEOUL GARDEN,TAMPINES MALL,SEOUL GARDEN|TEL: 6786 1339,,M90001079Y
,L0501081303,IMM Building - M1 Shop,JURONG EAST|IMM BUILDING,M1 SHOP::M1|BRN : #199601952W,,m90003294P
493,L03014140394,Tampines Mall - M1,TAMPINES MALL|4 TAMPINES CENTRAL 5,M1 SHOP::M1|BRN: #199601952W,,M90003294P
122,L0601080645,Bugis Junction - M1 Shop,BUGIS JUNCTION|PARCO BUGIS,M1 SHOP|#01-81/82 BUGIS|#199601952W,,M9-0003294-P
571,L0301210421,Tampines Mall - StarHub,TAMPINES MALL|4 TAMPINES CENTRAL 5,STARHUB|STARHUB LTD,,M90005650C
457,L57133290611,Raffles City Singapore - DA PAOLO GASTRONOMIA,RAFFLES CITY|252 NORTH BRIDGE ROAD,DA PAOLO GASTRONOMIA|WWW.DAPAOLO.COM.SG,179103,M90006960G
557,L57250283114,Raffles City Singapore - Precious Thots,RAFFLES CITY|252 NORTHBRIDGE ROAD,PRECIOUS THOTS|#02-17/18/19|PHONE: 6332 1494|FAX: 6338 8062,179103,M90007909T
,L57135040691,Raffles City Singapore - Treasures Yi Dian Xin,RAFFLES CITY|252 NORTH BRIDGE ROAD,TREASURES|YI DIAN XIN|IMPERIAL TREASURE|TEL: 6262 1662|FAX: 6262 1656,179103,m90010008Y
309,L25013370530,Westgate - Timezone,WESTGATE|WEST GATE,TIMEZONE,,M90010613J
423,L04073580663,Plaza Singapura - Lokkee / Lao Beijing,PLAZA SINGAPURA|68 ORCHARD ROAD,DRAGON CHAM|TEL:6738-7207|REG #:200006691H,238839,M9005581L
,L0527882029,IMM Building - Soup Restaurant,IMM BUILDING|2 JURONG EAST::2,SOUP RESTAURANT|TEL: 6899 1811|FAX: 6899 1911,609601,M90344326G
284,L05063412340,IMM Building - POT LUCK,IMM BUILDING|2 JURONG EAST::2,POT LUCK|TEL:68996636|FAX:68996676,609601,M90344326G
480,L05062962339,IMM Building - CAF? O,IMM BUILDING|2 JURONG EAST::2,CAFE 0|TEL: 6899 1181|FAX:6899 1191,,M90344326G
85,L03034190580,Tampines Mall - H&M,TAMPINES MALL|4 TAMPINES CENTRAL 5|529510,HENNES|H&M|HENNES & MAURITZ|TEL : 64438823,529510,M90366024R
18,L57250483032,Raffles City Singapore - COS,252 North Bridge Road|Raffles City,COS::COS|Tel: 63361690|Road #01-32|cosstores.com,179103,M90366024R
458,L0638850781,Bugis Junction - Simply Toys & Toy Outpost,BUGIS JUNCTION,SIMPLY TOYS & TOY OUTPOST|SIMPLYTOYS|TEL: 6333 0669|EMAIL:CS@SIMPLYTOYS.COM.SG,,M90367330P
42,L05063792725,IMM Building - NIKEFACTORYSTORE,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,NIKE GLOBAL|(65)6896 2602|NIKEFACTORYSTORE|NIKE,609601,M90367331L
204,L24000010421,Bedok Mall - AJISEN RAMEN,BEDOK MALL|311 NEW UPPER CHANGI ROAD,BACHMANN JAPANESE|AJISEN RAMEN @ BEDOK MALL|TEL NO. 6844 9373,,M90370629T
160,L0502892032,IMM Building - AJISEN,IMM BUILDING|2 JURONG EAST::2,BACHMANN JAPANESE|AJISEN RAMEN|TEL: 6564 5610|AJISEN @ IMM,609601,M90370629T
121,L03066420148,Tampines Mall - Ajisen Ramen and Osaka Ohsho,TAMPINES MALL|TAMPINES CENTRAL,BACHMANN JAPANESE|TEL: 67876422,,M90370629T
112,L1800010383,Lot One - AJISEN RAMEN,LOT 1 SHOPPERS MALL|21 CHOA CHU KANG,BACHMANN JAPANESE|TEL: 6760 1282,,M90370629T
,L03086730652,Tampines Mall - MENYA MUSASHI NITEN,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,BACHMANN JAPANESE|MENYA MUSASHI|TEL: 6786 3221,529510,M90370629T
,L15088490506,The Atrium@Orchard - Akimitsu,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD RD,AKIMITSU|JAPAN FOODS ENTERPRISES|TEL: 62643390,238839,M90370629T
220,L16000010032,Bukit Panjang Plaza - AJISEN RAMEN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,BACHMANN JAPANESE|TEL: 6465 0735|Road #01-36,677743,M90370629T
234,L25084120688,Westgate - MENYA MUSASHI KODOU,WESTGATE|3 GATEWAY DRIVE,MBACHMANN JAPANESE|ENYA MUSASHI|Tel No. 6465 9381|Drive #02-07,608532,M90370629T
291,L57250223235,Raffles City Singapore - OSAKA OHSHO,RAFFLES CITY|252 NORTH BRIDGE ROAD,OSAKA OHSHO|TEL/FAX: 6338 5584,179103,M90370629T
384,L2226200146,The Star Vista - MENYA MUSASHI,THE STAR VISTA|1 VISTA EXCHANGE GREEN,BACHMANN JAPANESE|MENYA MUSASHI|Green #B1-08,138617,M90370629T
407,L0621720363,Bugis Junction - Kazokutei,BUGIS JUNCTION,BACHMANN JAPANESE|KAZOKUTEI|TEL/FAX: 6338 0187,,M90370629T
448,L57250213189,Raffles City Singapore - MENYA MUSASHI KAFU,RAFFLES CITY|252 NORTH BRIDGE ROAD,BACHMANN JAPANESE|MENYA MUSASHI|TEL: 6254 9713,179103,M90370629T
209,L2531580346,Westgate - OSAKA OHSHO,WESTGATE|3 GATEWAY DRIVE,BACHMANN JAPANESE|OSAKA OHSHO|TEL. NO. 6465 9383,608532,M90370629T
259,L02031580325,Junction 8 - OSAKA OHSHO,JUNCTION 8::8|9 BISHAN PLACE,BACHMANN JAPANESE|OSAKA OHSHO|#02-34/35/35A|TEL: 6259 6698,579837,M90370629T
,L0202140234,Junction 8 - AJISEN Japanese Restaurant,JUNCTION 8::8|9 BISHAN PLACE,BACHMANN JAPANESE|AJISEN|AJISEN @ JUNCTION,579836,M90370629T
110,L21078020492,Bugis+ - New ManLee Bak Kut Teh,Bugis +::+|201 Victoria Street,New Manlee|Tel: 6509 9841|Bugis + #01-12,188067,M90370629T
162,L0662610832,Bugis Junction - KOTSUJIRU NABE by Osaka Ohsho,Bugis Junction|200 Victoria Street,@B1-K21 / K22,100021,M90370629T
52,L06000013052,Bugis Junction - AJISEN RAMEN,Bugis Junction|200 Victoria Street,Tel: 6333 9512,188021,M903770629T
89,L0500511872,IMM Building - POPULAR,POPULAR IMM::M|IMM,POPULAR|POPULAR BOOK COMPANY|URBANWRITE,554360,MR8500027X
61,L2400510224,Bedok Mall - POPULAR,BEDOK MALL,POPULAR|POPULAR BOOK COMPANY|URBANWRITE,554360,MR8500027X
57,L1600510083,Bukit Panjang Plaza - POPULAR,BUKIT PANJANG,POPULAR|POPULAR BOOK COMPANY|URBANWRITE,554360,MR8500027X
46,L25000510564,Westgate - POPULAR,WESTGATE,POPULAR|POPULAR BOOK COMPANY|URBANWRITE,554360,MR8500027X
40,L0200510204,Junction 8 - POPULAR,JUNCTION 8::8,POPULAR|POPULAR BOOK COMPANY|URBANWRITE,554360,MR8500027X
30,L1800510420,Lot One - POPULAR,LOT 1 SHOPPER|LOT ONE,POPULAR|POPULAR BOOK COMPANY|URBANWRITE,554360,MR8500027X
21,L0300510209,Tampines Mall - POPULAR,TAMPINES MALL,POPULAR|POPULAR BOOK COMPANY|URBANWRITE,554360,MR8500027X
114,L1607900213,Bukit Panjang Plaza - Harvey Norman,BUKIT PANJANG PLAZA|1 JELEBU ROAD,HARVEY NORMAN|#03-06/06A/06B/07A,677743,MR85001242
122,L0402540144,Plaza Singapura - MARKS & SPENCER,PLAZA SINGAPURA|68 ORCHARD ROAD,MARKS & SPENCER|BACCARAT|TEL: 6835 9552|197501717W|WWW.TELLMANDSSG.COM,238839,MR85001447
11,L57054200166,Raffles City Singapore - ROBINSONS,RAFFLES CITY|RAFFLES,ROBINSONS|TEL: +65 62168388|ROBINSONS & CO (S) P/L,179103,MR85001447
,L57RCS02,Raffles City Singapore - MARKS & SPENCER,RAFFLES CITY|252 NORTH BRIDGE RD|RAFFLES,MARKS & SPENCER|BACCARAT|WWW.TELLMANDSSG.COM,179103,MR85001447
9,L0413460570,Plaza Singapura - Cold Storage,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,CS PLAZA::CS|COLD STORAGE|#B2-15/16,238839,MR85002257
82,L57RCS04,Raffles City Singapore - guardian,RAFFLES CITY|252 NORTH BRIDGE ROAD,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,179103,MR85002257
65,L0600030599,Bugis Junction - guardian,BUGIS JUNCTION,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,188021,MR85002257
64,L0400030317,Plaza Singapura - guardian,PLAZA SINGAPURA|68 ORCHARD ROAD,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,238839,MR85002257
54,L2500030308,Westgate - guardian,WESTGATE|3 GATEWAY DRIVE,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG|TEL:6465 9440,608532,MR85002257
36,L1800030443,Lot One - guardian,LOT 1|LOT ONE|21 CHOA CHU KANG AVENUE 4,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,689812,MR85002257
31,L0300030016,Tampines Mall - guardian,TAMPINES MALL|4 TAMPINES CENTRAL 5|529538,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG|TEL:6787 0648,529510,MR85002257
29,L2400030111,Bedok Mall - guardian,BEDOK MALL|311 NEW UPPER CHANGI ROAD,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG|#B2-45/46/47|TEL:6844-9312,467360,MR85002257
28,L0200030016,Junction 8 - guardian,JUNCTION 8::8|9 BISHAN PLACE,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG|TEL: 6353 7234,579837,MR85002257
25,L0500031744,IMM Building - guardian,IMM BUILDING|2 JURONG EAST::2,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG|TEL:6566 7660,609601,MR85002257
23,L1600030133,Bukit Panjang Plaza - guardian,BUKIT PANJANG PLAZA|1 JELEBU ROAD,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,677743,MR85002257
2,L0501741751,IMM Building - Giant,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,GIANT|BIZ REG NO 53234707B|WWW.GIANTONLINE.COM.SG,609601,MR85002257
16,L2213460264,The Star Vista - Cold Storage,THE STAR VISTA|1 VISTA EXCHANGE GREEN,CS STAR::CS|COLD STORAGE|#B1-02/35/36,13861,MR85002257
14,L57054310673,Raffles City Singapore - RAFFLES CITY MARKET PLACE,RAFFLES CITY|252 NORTH BRIDGE ROAD,MKT PLACE|BIZ REG NO 52929695X,179103,MR85002257
